data,typ,model,kolor,pamiec,stan,cena,cena_liczbowo,alert,prog_alertu,dostepnosc,url
2026-08-22 07:36:44,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 138,59 zł",1138.59,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-22 07:36:44,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 379,63 zł",1379.63,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-22 07:36:44,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 379,63 zł",1379.63,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-22 07:36:44,sugerowana_konfiguracja,iPhone 13,zielony,128 GB,Dobry,"1 183,87 zł",1183.87,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-22 07:36:44,sugerowana_konfiguracja,iPhone 13,niebieski,256 GB,Bardzo dobry,"1 270,95 zł",1270.95,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-21 07:49:13,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 162,95 zł",1162.95,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-21 07:49:13,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 381,01 zł",1381.01,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-21 07:49:13,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 381,01 zł",1381.01,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-21 07:49:13,sugerowana_konfiguracja,iPhone 13,Północ,128 GB,Dobry,"1 169,94 zł",1169.94,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-21 07:49:13,sugerowana_konfiguracja,iPhone 13,Północ,256 GB,Dobry,"1 322,86 zł",1322.86,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-20 07:46:57,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 154,99 zł",1154.99,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-20 07:46:57,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 297,87 zł",1297.87,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-20 07:46:57,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 297,87 zł",1297.87,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-20 07:46:57,sugerowana_konfiguracja,iPhone 13,czerwony,128 GB,Dobry,"1 202,51 zł",1202.51,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-20 07:46:57,sugerowana_konfiguracja,iPhone 13,Północ,256 GB,Dobry,"1 291,92 zł",1291.92,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-19 07:44:11,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 164,20 zł",1164.2,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-19 07:44:11,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 299,68 zł",1299.68,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-19 07:44:11,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 299,68 zł",1299.68,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-19 07:44:11,sugerowana_konfiguracja,iPhone 13,niebieski,128 GB,Dobry,"1 164,20 zł",1164.2,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-19 07:44:11,sugerowana_konfiguracja,iPhone 13,Północ,256 GB,Dobry,"1 189,99 zł",1189.99,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-18 07:43:48,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 142,85 zł",1142.85,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-18 07:43:48,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 296,98 zł",1296.98,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-18 07:43:48,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 296,98 zł",1296.98,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-18 07:43:48,sugerowana_konfiguracja,iPhone 13,niebieski,128 GB,Dobry,"1 142,85 zł",1142.85,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-18 07:43:48,sugerowana_konfiguracja,iPhone 13,Północ,256 GB,Dobry,"1 294,99 zł",1294.99,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-17 07:55:40,glowny_produkt,"iPhone 13 128 GB | Dual-SIM (eSIM, Nano-SIM) | Gwiezdna Biel",do_odczytania,do_odczytania,do_odczytania,"1 219,10 zł",1219.1,NIE,1100,W magazynie,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-17 07:55:40,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 295,18 zł",1295.18,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-17 07:55:40,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 295,18 zł",1295.18,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-17 07:55:40,sugerowana_konfiguracja,iPhone 13,różowy,128 GB,Dobry,"1 244,99 zł",1244.99,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-17 07:55:40,sugerowana_konfiguracja,iPhone 13,czerwony,256 GB,Dobry,"1 374,23 zł",1374.23,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-16 07:36:26,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 295,08 zł",1295.08,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-16 07:36:26,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,128 GB,Bardzo dobry,"1 295,08 zł",1295.08,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-16 07:36:26,sugerowana_konfiguracja,iPhone 13,zielony,128 GB,Dobry,"1 206,13 zł",1206.13,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
2026-08-16 07:36:26,sugerowana_konfiguracja,iPhone 13,Gwiazda Polarna,256 GB,Bardzo dobry,"1 272,94 zł",1272.94,NIE,1100,sugerowana konfiguracja,https://www.refurbed.pl/p/iphone-13/14165b/?offer=17263393
